Chromosome	Start	End	MANE_Transcript	Near_coding_region
chr1	11259410	11259423	ENST00000361445	five_prime_UTR
chr1	11259424	11259443	ENST00000361445	5_prime_intron
chr1	11262412	11262817	ENST00000361445	promoter
chr1	11262425	11262444	ENST00000361445	5_prime_intron
chr1	11262445	11262551	ENST00000361445	five_prime_UTR
chr1	11272915	11273265	ENST00000376810	promoter
chr1	11273198	11273531	ENST00000376810	five_prime_UTR
chr1	11286132	11288434	ENST00000376810	three_prime_UTR
chr1	11980178	11980583	ENST00000235329	promoter
chr1	11980444	11980484	ENST00000235329	five_prime_UTR
chr1	11980485	11980504	ENST00000235329	5_prime_intron
chr1	11981950	11981969	ENST00000235329	5_prime_intron
chr1	11981970	11982114	ENST00000235329	five_prime_UTR
chr1	11982115	11982134	ENST00000235329	5_prime_intron
chr1	11989145	11989164	ENST00000235329	5_prime_intron
chr1	11989165	11989168	ENST00000235329	five_prime_UTR
chr1	12011566	12013508	ENST00000235329	three_prime_UTR
chr1	15847441	15847846	ENST00000375759	promoter
chr1	15847707	15848067	ENST00000375759	five_prime_UTR
chr1	15939428	15940456	ENST00000375759	three_prime_UTR
chr1	16043601	16043849	ENST00000375679	promoter
chr1	16043782	16043880	ENST00000375679	five_prime_UTR
chr1	16043881	16043900	ENST00000375679	5_prime_intron
chr1	16044466	16044485	ENST00000375679	5_prime_intron
chr1	16044486	16044492	ENST00000375679	five_prime_UTR
chr1	16056917	16057308	ENST00000375679	three_prime_UTR
chr1	16124337	16125214	ENST00000358432	three_prime_UTR
chr1	16155933	16156069	ENST00000358432	five_prime_UTR
chr1	16156002	16156250	ENST00000358432	promoter
chr1	17018722	17018880	ENST00000375499	three_prime_UTR
chr1	17054020	17054348	ENST00000375499	promoter
chr1	17054020	17054032	ENST00000375499	five_prime_UTR
chr1	17371930	17372245	ENST00000619609	promoter
chr1	17372196	17372245	ENST00000619609	five_prime_UTR
chr1	17401439	17401699	ENST00000619609	three_prime_UTR
chr1	21509076	21509490	ENST00000374840	promoter
chr1	21509423	21509517	ENST00000374840	five_prime_UTR
chr1	21509518	21509537	ENST00000374840	5_prime_intron
chr1	21553958	21553977	ENST00000374840	5_prime_intron
chr1	21553978	21554081	ENST00000374840	five_prime_UTR
chr1	21577649	21578410	ENST00000374840	three_prime_UTR
chr1	21976744	21977039	ENST00000337107	promoter
chr1	21977083	21977089	ENST00000337107	promoter
chr1	21977022	21977039	ENST00000337107	five_prime_UTR
chr1	21989260	21989261	ENST00000337107	3_prime_intron
chr1	21989280	21989354	ENST00000337107	three_prime_UTR
chr1	22052477	22052827	ENST00000656825	promoter
chr1	22052709	22052742	ENST00000656825	five_prime_UTR
chr1	22052743	22052762	ENST00000656825	5_prime_intron
chr1	22078409	22078428	ENST00000656825	5_prime_intron
chr1	22078429	22078478	ENST00000656825	five_prime_UTR
chr1	22091518	22101360	ENST00000656825	three_prime_UTR
chr1	23019256	23019596	ENST00000400181	promoter
chr1	23019468	23019596	ENST00000400181	five_prime_UTR
chr1	23083365	23083689	ENST00000400181	three_prime_UTR
chr1	23304688	23310453	ENST00000302271	three_prime_UTR
chr1	23341009	23341017	ENST00000302271	five_prime_UTR
chr1	23341018	23341037	ENST00000302271	5_prime_intron
chr1	23344145	23344550	ENST00000302271	promoter
chr1	23344191	23344210	ENST00000302271	5_prime_intron
chr1	23344211	23344284	ENST00000302271	five_prime_UTR
chr1	23691577	23691823	ENST00000643754	promoter
chr1	23691830	23691925	ENST00000643754	promoter
chr1	23691806	23691823	ENST00000643754	five_prime_UTR
chr1	23691830	23691843	ENST00000643754	5_prime_intron
chr1	23696374	23696835	ENST00000643754	three_prime_UTR
chr1	24319176	24319521	ENST00000361548	promoter
chr1	24319357	24319551	ENST00000361548	five_prime_UTR
chr1	24319569	24319571	ENST00000361548	5_prime_intron
chr1	24354489	24355318	ENST00000361548	three_prime_UTR
chr1	25800012	25800230	ENST00000361547	promoter
chr1	25800193	25800230	ENST00000361547	five_prime_UTR
chr1	25815719	25818221	ENST00000361547	three_prime_UTR
chr1	26432008	26432388	ENST00000236342	promoter
chr1	26432321	26432376	ENST00000236342	five_prime_UTR
chr1	26432377	26432396	ENST00000236342	5_prime_intron
chr1	26432871	26432890	ENST00000236342	5_prime_intron
chr1	26432891	26432945	ENST00000236342	five_prime_UTR
chr1	26469132	26471306	ENST00000236342	three_prime_UTR
chr1	26695834	26696082	ENST00000324856	promoter
chr1	26696015	26696403	ENST00000324856	five_prime_UTR
chr1	26780757	26782104	ENST00000324856	three_prime_UTR
chr1	27534245	27534916	ENST00000673934	three_prime_UTR
chr1	27534917	27534936	ENST00000673934	3_prime_intron
chr1	27547241	27547260	ENST00000673934	3_prime_intron
chr1	27547261	27547303	ENST00000673934	three_prime_UTR
chr1	27552116	27552189	ENST00000673934	five_prime_UTR
chr1	27552190	27552209	ENST00000673934	5_prime_intron
chr1	27552872	27552891	ENST00000673934	5_prime_intron
chr1	27552892	27552929	ENST00000673934	five_prime_UTR
chr1	27552930	27552949	ENST00000673934	5_prime_intron
chr1	27553054	27553073	ENST00000673934	5_prime_intron
chr1	27553074	27553185	ENST00000673934	five_prime_UTR
chr1	27553186	27553205	ENST00000673934	5_prime_intron
chr1	27558285	27558304	ENST00000673934	5_prime_intron
chr1	27558305	27558530	ENST00000673934	five_prime_UTR
chr1	27558531	27558550	ENST00000673934	5_prime_intron
chr1	27558686	27558705	ENST00000673934	5_prime_intron
chr1	27558706	27558883	ENST00000673934	five_prime_UTR
chr1	27558884	27558903	ENST00000673934	5_prime_intron
chr1	27603377	27603396	ENST00000673934	5_prime_intron
chr1	27603397	27603494	ENST00000673934	five_prime_UTR
chr1	27603495	27603514	ENST00000673934	5_prime_intron
chr1	27603708	27603727	ENST00000673934	5_prime_intron
chr1	27603728	27603863	ENST00000673934	five_prime_UTR
chr1	27603864	27603883	ENST00000673934	5_prime_intron
chr1	27604005	27604410	ENST00000673934	promoter
chr1	27604086	27604105	ENST00000673934	5_prime_intron
chr1	27604106	27604144	ENST00000673934	five_prime_UTR
chr1	28914297	28914647	ENST00000343067	promoter
chr1	28914569	28914768	ENST00000343067	five_prime_UTR
chr1	28914769	28914788	ENST00000343067	5_prime_intron
chr1	28987411	28987430	ENST00000343067	5_prime_intron
chr1	28987431	28987437	ENST00000343067	five_prime_UTR
chr1	29115798	29115803	ENST00000343067	three_prime_UTR
chr1	29115804	29115823	ENST00000343067	3_prime_intron
chr1	29116799	29116818	ENST00000343067	3_prime_intron
chr1	29116819	29120041	ENST00000343067	three_prime_UTR
chr1	30931506	30933210	ENST00000426105	three_prime_UTR
chr1	31059567	31059577	ENST00000426105	five_prime_UTR
chr1	31059578	31059597	ENST00000426105	5_prime_intron
chr1	31065596	31065615	ENST00000426105	5_prime_intron
chr1	31065616	31065717	ENST00000426105	five_prime_UTR
chr1	31065638	31065987	ENST00000426105	promoter
chr1	34759559	34759835	ENST00000339480	promoter
chr1	34759740	34759788	ENST00000339480	five_prime_UTR
chr1	34759789	34759808	ENST00000339480	5_prime_intron
chr1	34760913	34760932	ENST00000339480	5_prime_intron
chr1	34760933	34761254	ENST00000339480	five_prime_UTR
chr1	34762056	34762327	ENST00000339480	three_prime_UTR
chr1	34781033	34781354	ENST00000373366	promoter
chr1	34781214	34781778	ENST00000373366	five_prime_UTR
chr1	34781779	34781798	ENST00000373366	5_prime_intron
chr1	34784718	34784737	ENST00000373366	5_prime_intron
chr1	34784738	34784762	ENST00000373366	five_prime_UTR
chr1	34785576	34786364	ENST00000373366	three_prime_UTR
chr1	35557547	35557896	ENST00000373243	promoter
chr1	35557799	35558190	ENST00000373243	five_prime_UTR
chr1	35565664	35566779	ENST00000373243	three_prime_UTR
chr1	35882972	35883315	ENST00000373204	promoter
chr1	35883209	35883421	ENST00000373204	five_prime_UTR
chr1	35919608	35930532	ENST00000373204	three_prime_UTR
chr1	36095239	36097568	ENST00000397799	three_prime_UTR
chr1	36100243	36100258	ENST00000397799	five_prime_UTR
chr1	36100259	36100278	ENST00000397799	5_prime_intron
chr1	36115688	36115707	ENST00000397799	5_prime_intron
chr1	36115708	36115752	ENST00000397799	five_prime_UTR
chr1	36115753	36115772	ENST00000397799	5_prime_intron
chr1	36125037	36125056	ENST00000397799	5_prime_intron
chr1	36125057	36125222	ENST00000397799	five_prime_UTR
chr1	36125155	36125496	ENST00000397799	promoter
chr1	39204429	39204834	ENST00000564288	promoter
chr1	39204695	39205022	ENST00000564288	five_prime_UTR
chr1	39485795	39487138	ENST00000564288	three_prime_UTR
chr1	40300489	40301181	ENST00000372748	three_prime_UTR
chr1	40317198	40317286	ENST00000372748	five_prime_UTR
chr1	40317202	40317467	ENST00000372748	promoter
chr1	40783521	40783926	ENST00000347132	promoter
chr1	40783787	40784093	ENST00000347132	five_prime_UTR
chr1	40838524	40840452	ENST00000347132	three_prime_UTR
chr1	42925353	42927040	ENST00000426263	three_prime_UTR
chr1	42958632	42958633	ENST00000426263	5_prime_intron
chr1	42958652	42958868	ENST00000426263	five_prime_UTR
chr1	42958795	42959143	ENST00000426263	promoter
chr1	43337589	43337848	ENST00000372470	promoter
chr1	43337928	43337935	ENST00000372470	promoter
chr1	43337818	43337848	ENST00000372470	five_prime_UTR
chr1	43352773	43354466	ENST00000372470	three_prime_UTR
chr1	43363401	43363915	ENST00000372458	three_prime_UTR
chr1	43365610	43365623	ENST00000372458	five_prime_UTR
chr1	43365624	43365643	ENST00000372458	5_prime_intron
chr1	43367895	43367914	ENST00000372458	5_prime_intron
chr1	43367915	43368011	ENST00000372458	five_prime_UTR
chr1	43367924	43368274	ENST00000372458	promoter
chr1	45011963	45012265	ENST00000246337	promoter
chr1	45012286	45012321	ENST00000246337	promoter
chr1	45012254	45012265	ENST00000246337	five_prime_UTR
chr1	45015499	45015575	ENST00000246337	three_prime_UTR
chr1	47416019	47416315	ENST00000335071	promoter
chr1	47416285	47416315	ENST00000335071	five_prime_UTR
chr1	47417276	47418052	ENST00000335071	three_prime_UTR
chr1	53196558	53196943	ENST00000371486	promoter
chr1	53196824	53196943	ENST00000371486	five_prime_UTR
chr1	53213596	53214197	ENST00000371486	three_prime_UTR
chr1	55039279	55039625	ENST00000302118	promoter
chr1	55039548	55039837	ENST00000302118	five_prime_UTR
chr1	55063585	55064852	ENST00000302118	three_prime_UTR
chr1	56994778	56998128	ENST00000371236	three_prime_UTR
chr1	56998129	56998148	ENST00000371236	3_prime_intron
chr1	57010660	57010679	ENST00000371236	3_prime_intron
chr1	57010680	57010694	ENST00000371236	three_prime_UTR
chr1	57291031	57291166	ENST00000371236	five_prime_UTR
chr1	57291167	57291186	ENST00000371236	5_prime_intron
chr1	57423910	57423929	ENST00000371236	5_prime_intron
chr1	57423930	57424060	ENST00000371236	five_prime_UTR
chr1	57423930	57424241	ENST00000371236	promoter
chr1	61082295	61082700	ENST00000403491	promoter
chr1	61082561	61082791	ENST00000403491	five_prime_UTR
chr1	61455301	61455302	ENST00000403491	3_prime_intron
chr1	61455321	61462788	ENST00000403491	three_prime_UTR
chr1	63322343	63322689	ENST00000371116	promoter
chr1	63322567	63323058	ENST00000371116	five_prime_UTR
chr1	63324496	63325128	ENST00000371116	three_prime_UTR
chr1	64833229	64834561	ENST00000342505	three_prime_UTR
chr1	64886245	64886258	ENST00000342505	5_prime_intron
chr1	64886265	64886341	ENST00000342505	five_prime_UTR
chr1	64886342	64886361	ENST00000342505	5_prime_intron
chr1	64966313	64966332	ENST00000342505	5_prime_intron
chr1	64966333	64966549	ENST00000342505	five_prime_UTR
chr1	64966419	64966769	ENST00000342505	promoter
chr1	70410975	70411335	ENST00000370938	promoter
chr1	70411268	70411415	ENST00000370938	five_prime_UTR
chr1	70439128	70439851	ENST00000370938	three_prime_UTR
chr1	74235154	74235451	ENST00000326637	promoter
chr1	74235387	74235451	ENST00000326637	five_prime_UTR
chr1	74543983	74544428	ENST00000326637	three_prime_UTR
chr1	77888359	77888699	ENST00000334785	promoter
chr1	77888624	77888759	ENST00000334785	five_prime_UTR
chr1	77888760	77888779	ENST00000334785	5_prime_intron
chr1	77916035	77916054	ENST00000334785	5_prime_intron
chr1	77916055	77916106	ENST00000334785	five_prime_UTR
chr1	77942830	77943895	ENST00000334785	three_prime_UTR
chr1	84144090	84144361	ENST00000370685	promoter
chr1	84144271	84144361	ENST00000370685	five_prime_UTR
chr1	84235306	84238498	ENST00000370685	three_prime_UTR
chr1	92246402	92246529	ENST00000370360	three_prime_UTR
chr1	92298000	92298029	ENST00000370360	five_prime_UTR
chr1	92298030	92298049	ENST00000370360	5_prime_intron
chr1	92298794	92299073	ENST00000370360	promoter
chr1	92299147	92299168	ENST00000370360	promoter
chr1	92298905	92298924	ENST00000370360	5_prime_intron
chr1	92298925	92298987	ENST00000370360	five_prime_UTR
chr1	92473043	92476028	ENST00000294702	three_prime_UTR
chr1	92483488	92483586	ENST00000294702	five_prime_UTR
chr1	92483587	92483606	ENST00000294702	5_prime_intron
chr1	92486706	92486725	ENST00000294702	5_prime_intron
chr1	92486726	92486925	ENST00000294702	five_prime_UTR
chr1	92486832	92487178	ENST00000294702	promoter
chr1	92831821	92832114	ENST00000370321	promoter
chr1	92832118	92832170	ENST00000370321	promoter
chr1	92832040	92832114	ENST00000370321	five_prime_UTR
chr1	92832118	92832134	ENST00000370321	5_prime_intron
chr1	92841866	92841924	ENST00000370321	three_prime_UTR
chr1	93992834	93993236	ENST00000370225	three_prime_UTR
chr1	93993243	93993256	ENST00000370225	3_prime_intron
chr1	94121046	94121148	ENST00000370225	five_prime_UTR
chr1	94121081	94121385	ENST00000370225	promoter
chr1	94168905	94173868	ENST00000260526	three_prime_UTR
chr1	94231612	94231643	ENST00000260526	five_prime_UTR
chr1	94231644	94231663	ENST00000260526	5_prime_intron
chr1	94237395	94237414	ENST00000260526	5_prime_intron
chr1	94237415	94237584	ENST00000260526	five_prime_UTR
chr1	94237487	94237837	ENST00000260526	promoter
chr1	102876473	102878018	ENST00000370096	three_prime_UTR
chr1	103108179	103108522	ENST00000370096	five_prime_UTR
chr1	103108455	103108843	ENST00000370096	promoter
chr1	108134043	108136652	ENST00000565488	three_prime_UTR
chr1	108200139	108200343	ENST00000565488	five_prime_UTR
chr1	108200155	108200524	ENST00000565488	promoter
chr1	108746424	108746737	ENST00000370008	promoter
chr1	108746674	108746737	ENST00000370008	five_prime_UTR
chr1	108808878	108809523	ENST00000370008	three_prime_UTR
chr1	109548376	109548720	ENST00000369851	promoter
chr1	109548615	109548720	ENST00000369851	five_prime_UTR
chr1	109592234	109592255	ENST00000369851	three_prime_UTR
chr1	109592256	109592275	ENST00000369851	3_prime_intron
chr1	109592325	109592344	ENST00000369851	3_prime_intron
chr1	109592345	109600195	ENST00000369851	three_prime_UTR
chr1	110593580	110603282	ENST00000316361	three_prime_UTR
chr1	110604783	110604945	ENST00000316361	five_prime_UTR
chr1	110604946	110604965	ENST00000316361	5_prime_intron
chr1	110605371	110605390	ENST00000316361	5_prime_intron
chr1	110605391	110605722	ENST00000316361	five_prime_UTR
chr1	110605723	110605742	ENST00000316361	5_prime_intron
chr1	110606208	110606227	ENST00000316361	5_prime_intron
chr1	110606228	110606358	ENST00000316361	five_prime_UTR
chr1	110606291	110606663	ENST00000316361	promoter
chr1	111770662	111776076	ENST00000302127	three_prime_UTR
chr1	111982727	111982798	ENST00000302127	five_prime_UTR
chr1	111982799	111982818	ENST00000302127	5_prime_intron
chr1	111989485	111989504	ENST00000302127	5_prime_intron
chr1	111989505	111989668	ENST00000302127	five_prime_UTR
chr1	111989529	111989934	ENST00000302127	promoter
chr1	112911847	112913890	ENST00000369626	three_prime_UTR
chr1	112929309	112929352	ENST00000369626	five_prime_UTR
chr1	112929353	112929372	ENST00000369626	5_prime_intron
chr1	112956015	112956034	ENST00000369626	5_prime_intron
chr1	112956035	112956196	ENST00000369626	five_prime_UTR
chr1	112956104	112956454	ENST00000369626	promoter
chr1	114704469	114708050	ENST00000369535	three_prime_UTR
chr1	114708051	114708070	ENST00000369535	3_prime_intron
chr1	114708134	114708153	ENST00000369535	3_prime_intron
chr1	114708154	114708192	ENST00000369535	three_prime_UTR
chr1	114708193	114708212	ENST00000369535	3_prime_intron
chr1	114708511	114708530	ENST00000369535	3_prime_intron
chr1	114708531	114708534	ENST00000369535	three_prime_UTR
chr1	114716161	114716177	ENST00000369535	five_prime_UTR
chr1	114716178	114716197	ENST00000369535	5_prime_intron
chr1	114716638	114716657	ENST00000369535	5_prime_intron
chr1	114716656	114717004	ENST00000369535	promoter
chr1	114716658	114716771	ENST00000369535	five_prime_UTR
chr1	114716916	114718168	ENST00000358528	three_prime_UTR
chr1	114749801	114749820	ENST00000358528	5_prime_intron
chr1	114749821	114750207	ENST00000358528	five_prime_UTR
chr1	114750208	114750227	ENST00000358528	5_prime_intron
chr1	114757905	114757924	ENST00000358528	5_prime_intron
chr1	114757914	114758264	ENST00000358528	promoter
chr1	114757925	114757984	ENST00000358528	five_prime_UTR
chr1	116373041	116373391	ENST00000295598	promoter
chr1	116373244	116373511	ENST00000295598	five_prime_UTR
chr1	116373524	116373531	ENST00000295598	5_prime_intron
chr1	116404445	116404774	ENST00000295598	three_prime_UTR
chr1	119911553	119915305	ENST00000256646	three_prime_UTR
chr1	120069407	120069662	ENST00000256646	five_prime_UTR
chr1	120069523	120069928	ENST00000256646	promoter
chr1	145823934	145824339	ENST00000334163	promoter
chr1	145824200	145824369	ENST00000334163	five_prime_UTR
chr1	145824370	145824389	ENST00000334163	5_prime_intron
chr1	145825737	145825756	ENST00000334163	5_prime_intron
chr1	145825757	145825776	ENST00000334163	five_prime_UTR
chr1	145842421	145844402	ENST00000334163	three_prime_UTR
chr1	147902529	147902934	ENST00000369235	promoter
chr1	147902795	147902861	ENST00000369235	five_prime_UTR
chr1	147902862	147902881	ENST00000369235	5_prime_intron
chr1	147907925	147907944	ENST00000369235	5_prime_intron
chr1	147907945	147907955	ENST00000369235	five_prime_UTR
chr1	147909258	147909269	ENST00000369235	three_prime_UTR
chr1	149923317	149923541	ENST00000271628	three_prime_UTR
chr1	149927664	149927725	ENST00000271628	promoter
chr1	149927760	149928069	ENST00000271628	promoter
chr1	149927760	149927803	ENST00000271628	five_prime_UTR
chr1	150321307	150321657	ENST00000324862	promoter
chr1	150321533	150321592	ENST00000324862	five_prime_UTR
chr1	150321593	150321612	ENST00000324862	5_prime_intron
chr1	150324875	150324894	ENST00000324862	5_prime_intron
chr1	150324895	150324942	ENST00000324862	five_prime_UTR
chr1	150352980	150353233	ENST00000324862	three_prime_UTR
chr1	151282033	151282438	ENST00000336715	promoter
chr1	151282299	151282395	ENST00000336715	five_prime_UTR
chr1	151282396	151282415	ENST00000336715	5_prime_intron
chr1	151286255	151286274	ENST00000336715	5_prime_intron
chr1	151286275	151286291	ENST00000336715	five_prime_UTR
chr1	151291210	151292176	ENST00000336715	three_prime_UTR
chr1	151402724	151404801	ENST00000271715	three_prime_UTR
chr1	151442205	151442205	ENST00000271715	five_prime_UTR
chr1	151442206	151442225	ENST00000271715	5_prime_intron
chr1	151459132	151459151	ENST00000271715	5_prime_intron
chr1	151459152	151459494	ENST00000271715	five_prime_UTR
chr1	151459336	151459685	ENST00000271715	promoter
chr1	152302165	152302699	ENST00000368799	three_prime_UTR
chr1	152315457	152315477	ENST00000368799	five_prime_UTR
chr1	152315478	152315497	ENST00000368799	5_prime_intron
chr1	152325100	152325505	ENST00000368799	promoter
chr1	152325169	152325188	ENST00000368799	5_prime_intron
chr1	152325189	152325239	ENST00000368799	five_prime_UTR
chr1	153804725	153810176	ENST00000368655	three_prime_UTR
chr1	153828348	153828348	ENST00000368655	five_prime_UTR
chr1	153828349	153828368	ENST00000368655	5_prime_intron
chr1	153922713	153922732	ENST00000368655	5_prime_intron
chr1	153922733	153922972	ENST00000368655	five_prime_UTR
chr1	153922833	153923238	ENST00000368655	promoter
chr1	153990534	153990796	ENST00000651669	promoter
chr1	153990803	153990880	ENST00000651669	promoter
chr1	153990762	153990796	ENST00000651669	five_prime_UTR
chr1	153990803	153990816	ENST00000651669	5_prime_intron
chr1	153992094	153992155	ENST00000651669	three_prime_UTR
chr1	154161813	154167936	ENST00000651641	three_prime_UTR
chr1	154167941	154167956	ENST00000651641	3_prime_intron
chr1	154192019	154192100	ENST00000651641	five_prime_UTR
chr1	154192033	154192387	ENST00000651641	promoter
chr1	154567597	154568044	ENST00000368476	promoter
chr1	154567778	154568044	ENST00000368476	five_prime_UTR
chr1	154575933	154580013	ENST00000368476	three_prime_UTR
chr1	154582057	154584805	ENST00000368474	three_prime_UTR
chr1	154607987	154607991	ENST00000368474	5_prime_intron
chr1	154608007	154608186	ENST00000368474	five_prime_UTR
chr1	154608068	154608418	ENST00000368474	promoter
chr1	154697455	154707975	ENST00000271915	three_prime_UTR
chr1	154869965	154870281	ENST00000271915	five_prime_UTR
chr1	154870190	154870536	ENST00000271915	promoter
chr1	155234452	155234994	ENST00000368373	three_prime_UTR
chr1	155241113	155241249	ENST00000368373	five_prime_UTR
chr1	155241182	155241489	ENST00000368373	promoter
chr1	155289293	155290571	ENST00000342741	three_prime_UTR
chr1	155301396	155301682	ENST00000342741	promoter
chr1	155301396	155301438	ENST00000342741	five_prime_UTR
chr1	155308533	155308933	ENST00000368356	promoter
chr1	155308866	155308965	ENST00000368356	five_prime_UTR
chr1	155308966	155308985	ENST00000368356	5_prime_intron
chr1	155309769	155309788	ENST00000368356	5_prime_intron
chr1	155309789	155309789	ENST00000368356	five_prime_UTR
chr1	155320610	155320665	ENST00000368356	three_prime_UTR
chr1	155335268	155337659	ENST00000392403	three_prime_UTR
chr1	155521520	155521618	ENST00000392403	five_prime_UTR
chr1	155521619	155521638	ENST00000392403	5_prime_intron
chr1	155562133	155562152	ENST00000392403	5_prime_intron
chr1	155562153	155562803	ENST00000392403	five_prime_UTR
chr1	155562610	155562984	ENST00000392403	promoter
chr1	155609952	155610248	ENST00000245564	promoter
chr1	155610333	155610357	ENST00000245564	promoter
chr1	155610218	155610248	ENST00000245564	five_prime_UTR
chr1	155614274	155614951	ENST00000245564	three_prime_UTR
chr1	155897808	155900387	ENST00000368323	three_prime_UTR
chr1	155910762	155910804	ENST00000368323	five_prime_UTR
chr1	155910805	155910824	ENST00000368323	5_prime_intron
chr1	155911223	155911242	ENST00000368323	5_prime_intron
chr1	155911236	155911582	ENST00000368323	promoter
chr1	155911243	155911349	ENST00000368323	five_prime_UTR
chr1	156114466	156114806	ENST00000677389	promoter
chr1	156114466	156114806	ENST00000368300	promoter
chr1	156114711	156114918	ENST00000677389	five_prime_UTR
chr1	156114711	156114918	ENST00000368300	five_prime_UTR
chr1	156137765	156137866	ENST00000677389	three_prime_UTR
chr1	156139107	156140081	ENST00000368300	three_prime_UTR
chr1	156860660	156860934	ENST00000524377	promoter
chr1	156860865	156860934	ENST00000524377	five_prime_UTR
chr1	156881643	156881850	ENST00000524377	three_prime_UTR
chr1	158610704	158611263	ENST00000643759	three_prime_UTR
chr1	158686518	158686715	ENST00000643759	five_prime_UTR
chr1	158686536	158686896	ENST00000643759	promoter
chr1	160115573	160115826	ENST00000361216	promoter
chr1	160115759	160115861	ENST00000361216	five_prime_UTR
chr1	160115874	160115881	ENST00000361216	5_prime_intron
chr1	160141323	160143591	ENST00000361216	three_prime_UTR
chr1	160190308	160190642	ENST00000368078	promoter
chr1	160190575	160190751	ENST00000368078	five_prime_UTR
chr1	160201377	160201886	ENST00000368078	three_prime_UTR
chr1	160288594	160290156	ENST00000241704	three_prime_UTR
chr1	160343171	160343396	ENST00000241704	promoter
chr1	160343482	160343491	ENST00000241704	promoter
chr1	160343171	160343396	ENST00000294785	promoter
chr1	160343482	160343491	ENST00000294785	promoter
chr1	160343171	160343250	ENST00000241704	five_prime_UTR
chr1	160343383	160343396	ENST00000294785	five_prime_UTR
chr1	160358272	160358949	ENST00000294785	three_prime_UTR
chr1	161166245	161166622	ENST00000367999	promoter
chr1	161166426	161166672	ENST00000367999	five_prime_UTR
chr1	161166673	161166692	ENST00000367999	5_prime_intron
chr1	161166820	161166839	ENST00000367999	5_prime_intron
chr1	161166840	161166847	ENST00000367999	five_prime_UTR
